"Term","Kind","InstructionRVA","InstructionVA","TargetRVA"
"apas_enhancement_nodes::sIsApasEnhancementLocated","LEA_RIP","0xBE4C75","0x140BE4C75","0x3207068"
"IsApasEnhancementLocated","LEA_RIP","0xBE4C81","0x140BE4C81","0x3207048"
"NotifyUnlockedApasEnhancementsForTelemetry","LEA_RIP","0xBE4D7D","0x140BE4D7D","0x3206F68"
"SetApasEnhancementSystemAllDisable","LEA_RIP","0xBE4DC7","0x140BE4DC7","0x3206F00"
"DSApasEnhancementResource","LEA_RIP","0xBE5072","0x140BE5072","0x3206660"
"DSApasEnhancementResource","LEA_RIP","0xBE507E","0x140BE507E","0x3206640"
"EDSApasEnhancementLvId","LEA_RIP","0xBE50D7","0x140BE50D7","0x3206688"
"EDSApasEnhancementId","LEA_RIP","0xBE5128","0x140BE5128","0x32066A0"
"apas_enhancement_nodes::sGetApasEnhancementLv","LEA_RIP","0xBEACF6","0x140BEACF6","0x3207018"
"GetApasEnhancementLv","LEA_RIP","0xBEAD34","0x140BEAD34","0x3207000"
"GetApasEnhancementLv","LEA_RIP","0xBEAE7C","0x140BEAE7C","0x3207000"
"apas_enhancement_nodes::sDebugActivateApasEnhancement","LEA_RIP","0xBEAF55","0x140BEAF55","0x3206508"
"DebugActivateApasEnhancement","LEA_RIP","0xBEAF93","0x140BEAF93","0x32064E8"
"DebugActivateApasEnhancement","LEA_RIP","0xBEB0FB","0x140BEB0FB","0x32064E8"
